po_id,split,dup_group_id
f7479545-c81d-45e0-8f86-4fd3d230ac9a,train,BUYER_WAREHOUSE_C||SUPPLIER001||4||3||53||454||4||3||7
3e01777c-2779-4974-becb-f0b3a264ce15,train,BUYER_DISTRIB_B||TECH_SUPPLY_INT||4||3||77||661||3||2||6
412c093a-16f9-4a0a-bd0f-fab14d29e48c,train,BUYER_WAREHOUSE_C||ACME_PARTS||1||1||49||560||6||0||7
522622e7-13bb-414b-ad51-31b9256d3c28,train,BUYER_RETAIL_A||ACME_PARTS||1||1||29||370||5||2||7
e9b416d0-fd65-47fb-95e2-3faba88895e1,train,BUYER_DISTRIB_B||WIDGET_CO||4||4||9||98||3||2||7
606a5cbf-b7ac-4e84-b895-91e1ffbe02af,train,BUYER_ECOMM_E||WIDGET_CO||6||4||50||608||6||1||6
c3d8a7c6-37d4-4603-8982-089eee0836c9,train,BUYER_RETAIL_A||SUPPLIER001||5||4||42||396||5||1||6
7d474f41-5ab0-4963-906f-84353167c874,train,BUYER_RETAIL_A||WIDGET_CO||6||6||40||458||6||1||5
fc0b1560-2448-4382-81b9-0ff45fc0c502,train,BUYER_CHAIN_D||PREMIUM_GOODS||3||3||49||496||6||4||7
fe410ecc-c1ac-45e1-857c-905f3fc285f0,val,BUYER_DISTRIB_B||LOGISTICS_PLUS||2||2||24||308||6||2||7
0e66e188-45b2-4283-9c49-808f7c89915a,train,BUYER_DISTRIB_B||INDUSTRIAL_GOODS_LTD||2||2||63||866||4||1||7
7403d9ca-859d-4793-b39f-e13d0fb1aba4,train,BUYER_ECOMM_E||ACME_PARTS||3||3||24||226||4||3||7
217e4748-1719-4af5-8f67-89935f83ffa7,train,BUYER_CHAIN_D||INDUSTRIAL_GOODS_LTD||1||1||31||324||6||2||7
28df30c9-bddc-4588-bba6-9104e17fe49f,val,BUYER_ECOMM_E||WIDGET_CO||4||4||86||853||6||1||8
4a3d68a3-dda1-4f9b-b82d-81333d30f3a8,train,BUYER_RETAIL_A||PREMIUM_GOODS||2||1||33||305||3||1||6
745ba4d1-5e8d-41ed-a6d0-6be6c09ab2cb,val,BUYER_CHAIN_D||PREMIUM_GOODS||6||5||148||1432||7||3||6
8011cf28-e62e-4cd7-b277-2eb5fff45cad,train,BUYER_WAREHOUSE_C||SUPPLIER001||2||2||18||111||4||3||<NA>
a437ee29-4c2b-4231-97c9-101308f80fbd,test,BUYER_CHAIN_D||PREMIUM_GOODS||2||1||52||450||8||0||5
310228a5-3229-479e-9f74-6de6f7e0def0,train,BUYER_WAREHOUSE_C||SUPP_ACE_MFG||5||3||123||1184||3||1||<NA>
0f2b7f44-a50a-46b6-847c-a004e4b03fb8,train,BUYER_DISTRIB_B||LOGISTICS_PLUS||1||1||0||1||4||2||8
d10845c0-f7ad-416f-a901-a489cabaecdd,test,BUYER_ECOMM_E||SUPPLIER001||4||4||112||1345||5||0||5
7bd1f233-ee1c-477f-9eef-17ca68ba0871,train,BUYER_DISTRIB_B||LOGISTICS_PLUS||1||1||8||65||6||3||23
04a4f1b3-0771-42e9-9c89-861ee7b5c3cf,train,BUYER_RETAIL_A||WIDGET_CO||3||1||135||1673||5||2||6
bf08abe7-6296-45aa-954e-5756c5ba582a,train,BUYER_WAREHOUSE_C||SUPPLIER001||1||1||15||130||2||2||6
6ecd33e7-7311-4911-8bfb-3239ba4cf3f4,train,BUYER_ECOMM_E||ACME_PARTS||2||2||18||144||4||2||5
2c9ae076-c110-4bb3-b293-e3ccbaf897a7,train,BUYER_RETAIL_A||SUPP_ACE_MFG||1||1||0||1||3||2||5
ee9d8300-1259-422f-a8ba-865e84c5e104,train,BUYER_ECOMM_E||WIDGET_CO||5||5||181||1662||5||1||6
9c3d5847-5ece-4d80-806f-1396e2861ce0,train,BUYER_CHAIN_D||INDUSTRIAL_GOODS_LTD||6||6||108||1338||8||0||7
