record_id,po_number,line_no,sku,triage_label,scenario,label_what,label_who,mitigation_steps,po_qty,po_price,asn_qty,inv_qty,inv_price,qty_delta,qty_delta_pct,price_diff_pct,has_po_ref,is_repeat,supplier_category,supplier_risk_tier,supplier_exception_rate_30d,days_order_to_ship,days_ship_to_invoice,days_order_to_invoice
PO260117000022-L0001,PO260117000022,1,4517-0615-0001,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,112.0,106.0,112.0,112.0,106.0,0.0,0.0,0.0,1,0,RAW_MATERIAL,LOW,0.06542,10,0,10
PO260117000022-L0002,PO260117000022,2,4943-1487-0002,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,16.0,207.15,16.0,16.0,207.15,0.0,0.0,0.0,1,0,RAW_MATERIAL,LOW,0.06542,10,0,10
PO260117000022-L0003,PO260117000022,3,3028-3658-0003,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,148.0,147.42,148.0,148.0,147.42,0.0,0.0,0.0,1,0,RAW_MATERIAL,LOW,0.06542,10,0,10
PO260117000022-L0004,PO260117000022,4,1812-3623-0004,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,143.0,214.97,143.0,143.0,214.97,0.0,0.0,0.0,1,0,RAW_MATERIAL,LOW,0.06542,10,0,10
PO260117000022-L0005,PO260117000022,5,5744-6868-0005,AUTO_APPROVE,MATCH,MATCH,None,No action required. Auto-close the 3-way match case.,139.0,31.65,139.0,139.0,31.65,0.0,0.0,0.0,1,0,RAW_MATERIAL,LOW,0.06542,10,0,10
PO260117000168-L0001,PO260117000168,1,4999-1342-0001,AUTO_APPROVE,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,135.0,125.04,135.0,135.0,125.04,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.041088,5,1,6
PO260117000168-L0002,PO260117000168,2,6627-7354-0002,AUTO_APPROVE,PRICE_ERROR,PRICE_ERROR,Finance,Hold payment. Request corrected invoice or issue debit/credit memo based on contract price.,156.0,245.09,156.0,156.0,245.09,0.0,0.0,0.0,1,0,PACKAGING,LOW,0.041088,5,1,6
PO260117000259-L0001,PO260117000259,1,6823-2754-0001,MANUAL_REVIEW,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,127.0,17.09,127.0,127.0,17.09,0.0,0.0,0.0,1,0,SERVICES,HIGH,0.205018,6,0,6
PO260117000259-L0002,PO260117000259,2,5709-2120-0002,MANUAL_REVIEW,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,102.0,99.26,102.0,102.0,99.26,0.0,0.0,0.0,1,0,SERVICES,HIGH,0.205018,6,0,6
PO260117000259-L0003,PO260117000259,3,9134-1321-0003,MANUAL_REVIEW,TAX_MISMATCH,TAX_MISMATCH,Finance,Validate tax jurisdiction and taxable status. Request corrected invoice or adjust tax posting.,115.0,101.91,115.0,115.0,101.91,0.0,0.0,0.0,1,0,SERVICES,HIGH,0.205018,6,0,6
